Date,title,category,account,amount,type
6/20/2024,Adjust balance,,Salary Bank,60,EXPENSE
6/20/2024,Lunch,Food & Drinks,Salary Bank,20,EXPENSE
6/20/2024,Recharge,Bills & Fees,Salary Bank,259,EXPENSE
6/19/2024,Shave,Bills & Fees,Salary Bank,20,EXPENSE
6/17/2024,Water,Food & Drinks,Cash,20,EXPENSE
6/17/2024,Tickets,Transport,Cash,260,EXPENSE
6/17/2024,Water,Food & Drinks,Cash,20,EXPENSE
6/17/2024,Ticket Refund,Bills & Fees,Salary Bank,"1,570.72",INCOME
6/17/2024,Lunch,Food & Drinks,Salary Bank,250,EXPENSE
6/17/2024,Adjust balance,,Cash,120,EXPENSE
6/16/2024,Baba,Bills & Fees,Cash,500,EXPENSE
6/16/2024,Cab,Transport,Salary Bank,170,EXPENSE
6/16/2024,Snacks,Food & Drinks,Salary Bank,200,EXPENSE
6/16/2024,Chotu,Bills & Fees,Cash,500,EXPENSE
6/16/2024,Withdraw,Bills & Fees,Salary Bank,0,TRANSFER
6/16/2024,Tickets,Bills & Fees,Salary Bank,"1,702.70",EXPENSE
6/15/2024,Baba,Bills & Fees,Salary Bank,500,EXPENSE
6/14/2024,Petrol,Transport,Cash,100,EXPENSE
6/14/2024,Sriya payback,Bills & Fees,Cash,100,INCOME
6/14/2024,Petrol,Transport,Salary Bank,100,EXPENSE
6/13/2024,Snacks,Food & Drinks,Salary Bank,208.5,EXPENSE
6/13/2024,Petrol,Transport,Salary Bank,200,EXPENSE
6/11/2024,Chips,Food & Drinks,Salary Bank,10,EXPENSE
6/10/2024,Breakfast,Food & Drinks,Salary Bank,30,EXPENSE
6/9/2024,Petrol,Transport,Salary Bank,200,EXPENSE
6/9/2024,Clothes,Bills & Fees,Salary Bank,799,EXPENSE
6/9/2024,Snacks,Food & Drinks,Salary Bank,198.88,EXPENSE
6/7/2024,Baba,Bills & Fees,Salary Bank,500,EXPENSE
6/7/2024,Snacks,Food & Drinks,Salary Bank,90,EXPENSE
6/7/2024,Sriya,Bills & Fees,Salary Bank,100,EXPENSE
6/7/2024,Petrol,Transport,Salary Bank,100,EXPENSE
6/7/2024,Karthik payback,Bills & Fees,Salary Bank,200,INCOME
6/7/2024,Karthik payback,Bills & Fees,Cash,100,INCOME
6/5/2024,Grocery,Bills & Fees,Salary Bank,175,EXPENSE
6/5/2024,Netflix,Bills & Fees,Savings Bank,200,EXPENSE
6/5/2024,Settlement,Bills & Fees,Salary Bank,0,TRANSFER
6/5/2024,Salary,Bills & Fees,Salary Bank,"11,688.00",INCOME
6/5/2024,Snacks,Food & Drinks,Salary Bank,30,EXPENSE
6/5/2024,Adjust balance,,Cash,67,EXPENSE
6/5/2024,Chotu,Bills & Fees,Savings Bank,155,EXPENSE
6/5/2024,Adjust balance,,Salary Bank,10,EXPENSE
6/5/2024,Netflix,Bills & Fees,Salary Bank,199,EXPENSE
6/5/2024,Netflix,Bills & Fees,Salary Bank,200,INCOME
6/5/2024,,Bills & Fees,Salary Bank,70,INCOME
6/4/2024,Baba,Bills & Fees,Salary Bank,200,EXPENSE
6/3/2024,Snacks,Food & Drinks,Cash,90,EXPENSE
6/3/2024,Goje,Bills & Fees,Savings Bank,300,EXPENSE
6/3/2024,Petrol,Transport,Salary Bank,100,EXPENSE
5/31/2024,Biryani 🍚,Food & Drinks,Savings Bank,520,EXPENSE
5/31/2024,Adjust balance,,Salary Bank,54,EXPENSE
5/31/2024,Juice,Food & Drinks,Salary Bank,30,EXPENSE
5/31/2024,Petrol,Transport,Salary Bank,100,EXPENSE
5/31/2024,Smthng,Bills & Fees,Cash,10,EXPENSE
5/30/2024,Pizza,Food & Drinks,Salary Bank,190,EXPENSE
5/30/2024,Baba,Bills & Fees,Savings Bank,"1,000.00",EXPENSE
5/29/2024,Snacks,Food & Drinks,Salary Bank,35,EXPENSE
5/29/2024,Reward,Bills & Fees,Salary Bank,11,INCOME
5/29/2024,Breakfast,Food & Drinks,Salary Bank,30,EXPENSE
5/28/2024,Shirt,Bills & Fees,Salary Bank,160,EXPENSE
5/28/2024,Bus,Transport,Cash,30,EXPENSE
5/28/2024,Juice,Food & Drinks,Salary Bank,35,EXPENSE
5/28/2024,Withdraw,Bills & Fees,Salary Bank,0,TRANSFER
5/28/2024,Auto,Transport,Cash,20,EXPENSE
5/27/2024,Recharge,Bills & Fees,Salary Bank,155,EXPENSE
5/27/2024,Chotu,Bills & Fees,Salary Bank,500,EXPENSE
5/27/2024,Adjust balance,,Salary Bank,56,EXPENSE
5/27/2024,Snacks,Food & Drinks,Salary Bank,30,EXPENSE
5/26/2024,Shampoo,Bills & Fees,Cash,4,EXPENSE
5/26/2024,Petrol,Bills & Fees,Salary Bank,250,EXPENSE
5/26/2024,Stationary,Bills & Fees,Salary Bank,20,EXPENSE
5/25/2024,Ice cream,Food & Drinks,Salary Bank,20,EXPENSE
5/25/2024,Snacks,Food & Drinks,Salary Bank,60,EXPENSE
5/25/2024,Lunch,Food & Drinks,Salary Bank,70,EXPENSE
5/25/2024,Auto,Transport,Salary Bank,20,EXPENSE
5/24/2024,Bus,Transport,Cash,40,EXPENSE
5/24/2024,Auto,Transport,Salary Bank,20,EXPENSE
5/24/2024,Juice,Food & Drinks,Salary Bank,30,EXPENSE
5/24/2024,Printing,Bills & Fees,Salary Bank,555,EXPENSE
5/23/2024,Breakfast,Food & Drinks,Salary Bank,30,EXPENSE
5/21/2024,Recharge,Bills & Fees,Salary Bank,259,EXPENSE
5/21/2024,Internet,Bills & Fees,Salary Bank,470.82,EXPENSE
5/21/2024,Juice,Food & Drinks,Salary Bank,10,EXPENSE
5/21/2024,Brake,Bills & Fees,Salary Bank,50,EXPENSE
5/21/2024,Ice Cream,Food & Drinks,Salary Bank,35,EXPENSE
5/21/2024,Petrol,Transport,Salary Bank,100,EXPENSE
5/21/2024,Adjust balance,,Cash,40,EXPENSE
5/20/2024,Juice,Food & Drinks,Salary Bank,75,EXPENSE
5/20/2024,Juice,Food & Drinks,Salary Bank,20,EXPENSE
5/19/2024,Tickets,Bills & Fees,Salary Bank,"1,341.80",EXPENSE
5/19/2024,Tickets,Bills & Fees,Salary Bank,"1,341.80",EXPENSE
5/19/2024,Maggi,Food & Drinks,Salary Bank,14,EXPENSE
5/17/2024,Breakfast,Food & Drinks,Salary Bank,30,EXPENSE
5/16/2024,Breakfast,Food & Drinks,Salary Bank,30,EXPENSE
5/15/2024,Juice,Food & Drinks,Salary Bank,130,EXPENSE
5/15/2024,Shawarma 🌯,Food & Drinks,Salary Bank,220,EXPENSE
5/15/2024,RtA,Transport,Metro Card,35,EXPENSE
5/15/2024,Bus,Transport,Cash,10,EXPENSE
5/15/2024,AtR,Transport,Salary Bank,35,EXPENSE
5/14/2024,Recharge,Transport,Salary Bank,0,TRANSFER
5/14/2024,Juice,Food & Drinks,Cash,10,EXPENSE
5/14/2024,Bus,Transport,Cash,20,EXPENSE
5/14/2024,RtA,Transport,Metro Card,35,EXPENSE
5/14/2024,AtR,Transport,Metro Card,35,EXPENSE
5/12/2024,Snacks,Food & Drinks,Salary Bank,30,EXPENSE
5/10/2024,Snacks,Food & Drinks,Salary Bank,60,EXPENSE
5/10/2024,RtA,Transport,Metro Card,35,EXPENSE
5/10/2024,AtR,Transport,Metro Card,35,EXPENSE
5/9/2024,Screen,Bills & Fees,Salary Bank,"1,400.00",EXPENSE
5/9/2024,Snacks,Food & Drinks,Salary Bank,20,EXPENSE
5/9/2024,Breakfast,Food & Drinks,Salary Bank,30,EXPENSE
5/8/2024,Juice,Food & Drinks,Salary Bank,80,EXPENSE
5/8/2024,Bus,Transport,Cash,10,EXPENSE
5/8/2024,RtA,Transport,Metro Card,35,EXPENSE
5/8/2024,AtR,Transport,Metro Card,35,EXPENSE
5/8/2024,Bus,Transport,Cash,10,EXPENSE
5/7/2024,RtA,Transport,Metro Card,35,EXPENSE
5/7/2024,AtR,Transport,Metro Card,35,EXPENSE
5/7/2024,Shawarma 🌯,Food & Drinks,Salary Bank,120,EXPENSE
5/7/2024,Bus,Transport,Cash,10,EXPENSE
5/6/2024,Bus,Transport,Cash,10,EXPENSE
5/6/2024,Petrol,Bills & Fees,Salary Bank,100,EXPENSE
5/6/2024,RtA,Transport,Metro Card,35,EXPENSE
5/6/2024,AtR,Transport,Metro Card,35,EXPENSE
5/6/2024,Juice,Food & Drinks,Salary Bank,40,EXPENSE
5/6/2024,Lunch,Food & Drinks,Salary Bank,100,EXPENSE
5/6/2024,Adjust balance,,Salary Bank,80,INCOME
5/6/2024,Adjust balance,,Cash,30,EXPENSE
5/4/2024,Petrol,Transport,Salary Bank,200,EXPENSE
5/4/2024,Medic,Bills & Fees,Salary Bank,20,EXPENSE
5/3/2024,Petrol,Transport,Salary Bank,100,EXPENSE
5/3/2024,Recharge,Bills & Fees,Salary Bank,266.9,EXPENSE
5/3/2024,Petrol,Transport,Salary Bank,50,EXPENSE
5/2/2024,Exam Fees,Bills & Fees,Salary Bank,"2,000.00",EXPENSE
5/2/2024,Juice,Food & Drinks,Salary Bank,80,EXPENSE
5/2/2024,Bus,Transport,Cash,10,EXPENSE
5/2/2024,Auto,Transport,Cash,20,EXPENSE
5/2/2024,Juice,Food & Drinks,Salary Bank,80,EXPENSE
5/2/2024,Snacks,Food & Drinks,Salary Bank,30,EXPENSE
5/2/2024,Savings,,Salary Bank,0,TRANSFER
5/2/2024,Netflix,Bills & Fees,Salary Bank,199,EXPENSE
5/2/2024,Baba,Bills & Fees,Salary Bank,"5,000.00",EXPENSE
5/1/2024,Adjust balance,,Salary Bank,30,EXPENSE
5/1/2024,Recharge,Bills & Fees,Salary Bank,155,EXPENSE
5/1/2024,Juice,Food & Drinks,Salary Bank,60,EXPENSE
5/1/2024,Recharge,Transport,Salary Bank,0,TRANSFER
5/1/2024,Withdraw,,Salary Bank,0,TRANSFER
5/1/2024,RtA,Transport,Cash,35,EXPENSE
5/1/2024,AtR,Transport,Metro Card,35,EXPENSE
5/1/2024,Water,Food & Drinks,Salary Bank,30,EXPENSE
4/30/2024,Salary,Bills & Fees,Salary Bank,"19,367.00",INCOME
4/30/2024,Bus,Transport,Cash,10,EXPENSE
4/30/2024,AtR,Transport,Salary Bank,35,EXPENSE
4/30/2024,RtA,Transport,Salary Bank,35,EXPENSE
4/30/2024,Juice,Food & Drinks,Salary Bank,90,EXPENSE
4/29/2024,Bus,Transport,Cash,10,EXPENSE
4/29/2024,RtA,Transport,Salary Bank,35,EXPENSE
4/29/2024,Adjust balance,,Cash,80,EXPENSE
4/29/2024,Bus,Transport,Cash,10,EXPENSE
4/29/2024,AtR,Transport,Salary Bank,35,EXPENSE
4/28/2024,Baba,Bills & Fees,Salary Bank,500,EXPENSE
4/28/2024,Breakfast,Food & Drinks,Salary Bank,30,EXPENSE
4/27/2024,🍰,Food & Drinks,Salary Bank,100,EXPENSE
4/27/2024,Milk,Bills & Fees,Salary Bank,40,EXPENSE
4/27/2024,Snacks,Food & Drinks,Salary Bank,90,EXPENSE
4/27/2024,Water,Food & Drinks,Salary Bank,60,EXPENSE
4/27/2024,Juice,Food & Drinks,Salary Bank,120,EXPENSE
4/27/2024,Water,Food & Drinks,Salary Bank,60,EXPENSE
4/27/2024,Lunch,Food & Drinks,Salary Bank,100,EXPENSE
4/27/2024,Sujith,Bills & Fees,Salary Bank,100,INCOME
4/27/2024,Priyanka,Bills & Fees,Salary Bank,300,INCOME
4/27/2024,Petrol,Transport,Salary Bank,100,EXPENSE
4/26/2024,Juice,Food & Drinks,Salary Bank,49,EXPENSE
4/26/2024,Chotu,Bills & Fees,Salary Bank,500,EXPENSE
4/26/2024,Snacks,Food & Drinks,Salary Bank,10,EXPENSE
4/26/2024,Drink,Food & Drinks,Salary Bank,49,EXPENSE
4/26/2024,Lunch,Food & Drinks,Salary Bank,120,EXPENSE
4/26/2024,Water,Food & Drinks,Salary Bank,60,EXPENSE
4/26/2024,Petrol,Transport,Salary Bank,100,EXPENSE
4/25/2024,Snacks,Food & Drinks,Salary Bank,20,EXPENSE
4/25/2024,Petrol,Transport,Salary Bank,100,EXPENSE
4/24/2024,Shirt,Bills & Fees,Salary Bank,699,EXPENSE
4/24/2024,Petrol,Transport,Salary Bank,100,EXPENSE
4/24/2024,Petrol,Transport,Salary Bank,50,EXPENSE
4/24/2024,Snacks,Food & Drinks,Salary Bank,60,EXPENSE
4/23/2024,Team lunch,Food & Drinks,Salary Bank,795,EXPENSE
4/23/2024,Bus,Transport,Cash,20,EXPENSE
4/23/2024,RtA,Transport,Metro Card,35,EXPENSE
4/23/2024,AtR,Transport,Metro Card,35,EXPENSE
4/22/2024,Bus,Transport,Cash,10,EXPENSE
4/22/2024,RtA,Transport,Metro Card,35,EXPENSE
4/22/2024,Bus Pass,Transport,Salary Bank,430,EXPENSE
4/22/2024,Recharge,Bills & Fees,Salary Bank,259,EXPENSE
4/22/2024,Adjust balance,,Savings Bank,44.02,INCOME
4/22/2024,Settlement,,Salary Bank,20,EXPENSE
4/22/2024,Adjust balance,,Cash,20,EXPENSE
4/22/2024,Bus,Transport,Cash,30,EXPENSE
4/22/2024,,Bills & Fees,Cash,30,INCOME
4/22/2024,AtR,Transport,Metro Card,35,EXPENSE
4/21/2024,Juice,Food & Drinks,Salary Bank,40,EXPENSE
4/21/2024,Manchuria,Food & Drinks,Cash,70,EXPENSE
4/21/2024,Breakfast,Food & Drinks,Salary Bank,25,EXPENSE
4/21/2024,Petrol,Transport,Salary Bank,100,EXPENSE
4/21/2024,Tyre,Bills & Fees,Cash,10,EXPENSE
4/20/2024,Shirt,Bills & Fees,Salary Bank,799,EXPENSE
4/20/2024,Burrito,Food & Drinks,Salary Bank,83,EXPENSE
4/20/2024,Sid PayUp,Bills & Fees,Salary Bank,89.52,INCOME
4/20/2024,Ice Cream,Food & Drinks,Salary Bank,88.01,EXPENSE
4/20/2024,Water,Food & Drinks,Cash,30,EXPENSE
4/19/2024,Bus,Transport,Cash,10,EXPENSE
4/19/2024,RtA,Transport,Metro Card,35,EXPENSE
4/19/2024,AtR,Transport,Metro Card,35,EXPENSE
4/18/2024,Snacks,Food & Drinks,Salary Bank,75,EXPENSE
4/18/2024,Snacks,Food & Drinks,Salary Bank,130,EXPENSE
4/17/2024,,,Cash,5,EXPENSE
4/17/2024,Reacharge,,Salary Bank,0,TRANSFER
4/17/2024,AtR,Transport,Cash,35,EXPENSE
4/17/2024,Withdraw,,Salary Bank,0,TRANSFER
4/16/2024,RtA,Transport,Metro Card,35,EXPENSE
4/16/2024,Bus,Transport,Cash,10,EXPENSE
4/16/2024,AtR,Transport,Metro Card,35,EXPENSE
4/15/2024,Bus,Transport,Cash,10,EXPENSE
4/15/2024,RtA,Transport,Metro Card,35,EXPENSE
4/15/2024,Snacks,Food & Drinks,Salary Bank,60,EXPENSE
4/15/2024,Domain,Bills & Fees,Salary Bank,616.32,EXPENSE
4/15/2024,AtR,Transport,Metro Card,35,EXPENSE
4/15/2024,Bus,Transport,Cash,10,EXPENSE
4/14/2024,Breakfast,Food & Drinks,Salary Bank,30,EXPENSE
4/12/2024,Bus,Transport,Cash,20,EXPENSE
4/12/2024,Recharge,,Salary Bank,0,TRANSFER
4/12/2024,RtA,Transport,Metro Card,35,EXPENSE
4/12/2024,AtR,Transport,Metro Card,35,EXPENSE
4/12/2024,Adjust balance,,Metro Card,40,EXPENSE
4/10/2024,RtA,Transport,Metro Card,35,EXPENSE
4/10/2024,Adjust balance,,Cash,30,EXPENSE
4/10/2024,Adjust balance,,Salary Bank,70.99,EXPENSE
4/10/2024,Gym,Bills & Fees,Salary Bank,"1,000.00",EXPENSE
4/10/2024,AtR,Transport,Metro Card,35,EXPENSE
4/10/2024,Shawarma 🌯,Food & Drinks,Salary Bank,140,EXPENSE
4/8/2024,AtR,Transport,Metro Card,35,EXPENSE
4/8/2024,Bus,Transport,Cash,10,EXPENSE
4/7/2024,Breakfast,Food & Drinks,Salary Bank,30,EXPENSE
4/7/2024,Fest,Bills & Fees,Salary Bank,250,EXPENSE
4/6/2024,Juice,Food & Drinks,Salary Bank,10,EXPENSE
4/6/2024,Bus,Transport,Cash,10,EXPENSE
4/6/2024,Juice,Food & Drinks,Salary Bank,30,EXPENSE
4/6/2024,Auto,Transport,Cash,20,EXPENSE
4/5/2024,Juice,Food & Drinks,Salary Bank,30,EXPENSE
4/5/2024,RtA,Transport,Metro Card,35,EXPENSE
4/5/2024,Recharge,,Salary Bank,0,TRANSFER
4/5/2024,Wow,Bills & Fees,Salary Bank,309.84,EXPENSE
4/5/2024,Juice,Food & Drinks,Salary Bank,25,EXPENSE
4/5/2024,AtR,Transport,Metro Card,35,EXPENSE
4/4/2024,Snacks,Food & Drinks,Salary Bank,75,EXPENSE
4/4/2024,Petrol,Bills & Fees,Salary Bank,100,EXPENSE
4/4/2024,Stonks,Bills & Fees,Salary Bank,761.44,INCOME
4/3/2024,Settlement,,Salary Bank,0,TRANSFER
4/3/2024,Maa,Bills & Fees,Salary Bank,"10,000.00",INCOME
4/3/2024,Bus,Transport,Cash,10,EXPENSE
4/3/2024,AtR,Transport,Metro Card,35,EXPENSE
4/2/2024,AtR,Transport,Metro Card,35,EXPENSE
4/2/2024,RtA,Transport,Metro Card,35,EXPENSE
4/2/2024,Juice,Food & Drinks,Cash,10,EXPENSE
4/2/2024,Juice,Food & Drinks,Cash,60,EXPENSE
4/2/2024,Chotu,Bills & Fees,Cash,60,INCOME
4/2/2024,Bus,Transport,Cash,10,EXPENSE
4/1/2024,Netflix,Bills & Fees,Savings Bank,199,EXPENSE
4/1/2024,Chotu,Bills & Fees,Savings Bank,"3,000.00",EXPENSE
4/1/2024,Bhagwat,Bills & Fees,Cash,100,INCOME
4/1/2024,Snacks,Food & Drinks,Salary Bank,160,EXPENSE
4/1/2024,Juice,Food & Drinks,Salary Bank,50,EXPENSE
4/1/2024,Adjust balance,,Cash,50,EXPENSE
3/31/2024,AtR,Transport,Metro Card,35,EXPENSE
3/31/2024,Bus,Transport,Cash,10,EXPENSE
3/31/2024,Baba,Bills & Fees,Salary Bank,"1,700.00",EXPENSE
3/31/2024,Shoes,Bills & Fees,Salary Bank,"2,499.00",EXPENSE
3/31/2024,Haircut,Bills & Fees,Salary Bank,150,EXPENSE
3/30/2024,Chotu,Bills & Fees,Cash,100,EXPENSE
3/29/2024,Snacks,Food & Drinks,Salary Bank,90,EXPENSE
3/29/2024,Maa,Bills & Fees,Salary Bank,"13,000.00",EXPENSE
3/29/2024,Breakfast,Food & Drinks,Salary Bank,60,EXPENSE
3/28/2024,Petrol,Bills & Fees,Salary Bank,100,EXPENSE
3/28/2024,Snacks,Food & Drinks,Salary Bank,250,EXPENSE
3/28/2024,Settle,,Salary Bank,5,EXPENSE
3/28/2024,Salary,Bills & Fees,Salary Bank,"22,700.00",INCOME
3/28/2024,Transfer,,Salary Bank,0,TRANSFER
3/27/2024,Ice cream,Food & Drinks,Cash,70,EXPENSE
3/26/2024,Juice,Food & Drinks,Salary Bank,40,EXPENSE
3/26/2024,Auto,Transport,Cash,20,EXPENSE
3/25/2024,Bus,Transport,Cash,10,EXPENSE
3/25/2024,Bus,Transport,Cash,10,EXPENSE
3/25/2024,RtA,Transport,Metro Card,35,EXPENSE
3/25/2024,AtR,Transport,Metro Card,35,EXPENSE
3/25/2024,Recharge,,Cash,0,TRANSFER
3/24/2024,Adjust balance,,Salary Bank,105,EXPENSE
3/22/2024,Bus,Transport,Cash,30,EXPENSE
3/22/2024,Juice,Food & Drinks,Salary Bank,10,EXPENSE
3/22/2024,Snacks,Food & Drinks,Salary Bank,80,EXPENSE
3/22/2024,Withdraw,,Salary Bank,0,TRANSFER
3/22/2024,RtA,Transport,Metro Card,35,EXPENSE
3/21/2024,Baba,Bills & Fees,Salary Bank,500,EXPENSE
3/21/2024,Recharge,Bills & Fees,Salary Bank,259,EXPENSE
3/21/2024,Maa,Bills & Fees,Salary Bank,"2,000.00",INCOME
3/21/2024,Stonks,Bills & Fees,Salary Bank,230,EXPENSE
3/21/2024,Petrol,Transport,Salary Bank,200,EXPENSE
3/19/2024,RtA,Transport,Metro Card,35,EXPENSE
3/19/2024,Snacks,Food & Drinks,Salary Bank,25,EXPENSE
3/19/2024,RtA,Transport,Metro Card,35,EXPENSE
3/19/2024,Shawarma 🌯,Food & Drinks,Salary Bank,260,EXPENSE
3/19/2024,Bus pass,Bills & Fees,Salary Bank,430,EXPENSE
3/18/2024,RtA,Transport,Metro Card,35,EXPENSE
3/17/2024,Adjust balance,,Cash,110,EXPENSE
3/16/2024,Snacks,Food & Drinks,Salary Bank,30,EXPENSE
3/16/2024,Rent,Bills & Fees,Salary Bank,"3,800.00",EXPENSE
3/15/2024,Juice,Food & Drinks,Salary Bank,40,EXPENSE
3/15/2024,Snacks,Food & Drinks,Salary Bank,20,EXPENSE
3/15/2024,RtA,Transport,Metro Card,35,EXPENSE
3/15/2024,Bike,Transport,Salary Bank,74,EXPENSE
3/14/2024,Snacks,Food & Drinks,Salary Bank,105,EXPENSE
3/13/2024,Snacks,Food & Drinks,Salary Bank,30,EXPENSE
3/13/2024,Bandages,Bills & Fees,Salary Bank,8,EXPENSE
3/12/2024,Baba,Bills & Fees,Salary Bank,"2,000.00",EXPENSE
3/12/2024,Doc,Bills & Fees,Salary Bank,60,EXPENSE
3/12/2024,Juice,Food & Drinks,Salary Bank,90,EXPENSE
3/12/2024,Shawarma 🌯,Food & Drinks,Salary Bank,150,EXPENSE
3/12/2024,Breakfast,Food & Drinks,Salary Bank,30,EXPENSE
3/11/2024,Jalebi,Food & Drinks,Salary Bank,30,EXPENSE
3/10/2024,,Bills & Fees,Salary Bank,9,EXPENSE
3/10/2024,Baba,Bills & Fees,Salary Bank,"1,000.00",EXPENSE
3/9/2024,Juice,Food & Drinks,Salary Bank,10,EXPENSE
3/9/2024,Petrol,Transport,Salary Bank,200,EXPENSE
3/8/2024,Snacks,Food & Drinks,Salary Bank,10,EXPENSE
3/8/2024,Breakfast,Food & Drinks,Salary Bank,30,EXPENSE
3/7/2024,Snacks,Food & Drinks,Salary Bank,60,EXPENSE
3/7/2024,RtA,Transport,Cash,35,EXPENSE
3/7/2024,,,Cash,20,EXPENSE
3/7/2024,Adjust balance,,Cash,25,EXPENSE
3/7/2024,AtR,Transport,Metro Card,35,EXPENSE
3/7/2024,Bus,Transport,Cash,10,EXPENSE
3/7/2024,Withdraw,,Salary Bank,0,TRANSFER
3/7/2024,Recharge,,Salary Bank,0,TRANSFER
3/6/2024,RtA,Transport,Metro Card,35,EXPENSE
3/6/2024,Snacks,Food & Drinks,Cash,10,EXPENSE
3/6/2024,AtR,Transport,Metro Card,35,EXPENSE
3/6/2024,RB 🐂,Food & Drinks,Salary Bank,125,EXPENSE
3/6/2024,Baba,Bills & Fees,Salary Bank,"1,000.00",EXPENSE
3/6/2024,Netflix,Bills & Fees,Salary Bank,99,EXPENSE
3/6/2024,,,Savings Bank,5.53,INCOME
